id_axe;nom_axe;type_axe;poids_axe_defaut_pct;id_critere;dimension;critere;source_type;source_detail;type_importance;qui_definit_importance;formule_scoring;valeurs_echelle;poids_dans_axe_defaut_pct;donnees_manquantes
4;Cadre de vie & environnement;Scoring principal;15;4.3;Standing quartier;Revenus médians IRIS vs. standing souhaité acquéreur;Extrinsèque;INSEE Filosofi — données IRIS revenus médians;Préférentiel;Acquéreur;Adéquation revenu médian IRIS / revenu médian souhaité acquéreur — normalisé 0→1;€/UC médian IRIS;20;Score neutre 0.5 si données Filosofi absentes pour l'IRIS
4;Cadre de vie & environnement;Scoring principal;15;4.4;Qualité de l'air;Indice ATMO moyen annuel vs. sensibilité acquéreur;Extrinsèque;Atmo France API + réseau AASQA régional;Préférentiel;Acquéreur;[Bon = 1.0 / Moyen = 0.7 / Dégradé = 0.4 / Mauvais = 0.1];Indice ATMO 1→6;15;Score neutre 0.5 si données ATMO absentes
4;Cadre de vie & environnement;Scoring principal;15;4.5;Risques naturels & technologiques;Exposition risques PPRI / Seveso / radon vs. tolérance acquéreur;Extrinsèque;Géorisques API (PPRI + Seveso + radon + cavités) + CSV champ: ERP;Préférentiel;Acquéreur;Score composite risques : chaque risque présent = pénalité pondérée — si acquéreur sensible + risque élevé → bloquant;Présent / Absent par type de risque;10;Score 0.5 si ERP non fourni
5;Extérieur & autonomie alimentaire;Scoring principal;10;5.1;Présence extérieur;Type d'espace extérieur vs. besoin exprimé acquéreur;Intrinsèque;CSV champs: Jardin privatif (m²) / Terrasse (m²) / Balcon (m²) / Cour;Bloquant si indispensable;Acquéreur;[Jardin = 1.0 / Terrasse ≥ 15m² = 0.7 / Balcon = 0.4 / Aucun = 0.0] — Si acquéreur "indispensable" et aucun extérieur → bien exclu;Type présence;40;Score 0.0 si données absentes et acquéreur a exprimé besoin extérieur
5;Extérieur & autonomie alimentaire;Scoring principal;10;5.2;Surface extérieur;Surface totale extérieur vs. surface souhaitée acquéreur;Intrinsèque;CSV champs: Jardin privatif (m²) + Terrasse (m²) + Balcon (m²);Important;Acquéreur;min(1 ; surface_extérieur_totale / surface_extérieur_souhaitée);m² cumulé;35;Score 0.5 si surface non renseignée mais type présent
5;Extérieur & autonomie alimentaire;Scoring principal;10;5.3;Potentiel potager;Ensoleillement × surface jardin vs. ambition autonomie alimentaire;Intrinsèque + Extrinsèque;CSV champs: Jardin privatif (m²) + Orientation principale — PVGIS JRC (kWh/m²/an);Préférentiel;Acquéreur;f(surface_jardin × ensoleillement_PVGIS) normalisé — score = 0.0 si aucun jardin;kWh/m²/an × m²;15;Critère ignoré si autonomie alimentaire non exprimée (poids = 0)
5;Extérieur & autonomie alimentaire;Scoring principal;10;5.4;Récupération eau;Équipement récupération eau de pluie présent;Intrinsèque;CSV champ: Récupération eau de pluie (Oui/Non);Bonus;Acquéreur;[1.0 si présent / 0.0 si absent] — contribue seulement si autonomie alimentaire exprimée;Oui / Non;10;Score 0.0 — pas de pénalité si absent
5;Extérieur & autonomie alimentaire;Scoring principal;10;5.5;Jardin partagé proximité;Présence jardin partagé à moins de 500m si pas de jardin privatif;Extrinsèque;OSM Overpass API (jardins partagés POI);Préférentiel;Acquéreur;[Présent à < 500m = 0.7 / 500m-1km = 0.4 / Absent = 0.0] — uniquement si acquéreur a accepté cette alternative;Distance en mètres;0 (bonus alternatif);Score 0.0 si données OSM absentes
6;Sobriété & performance énergétique;Différenciant;5;6.1;DPE étiquette actuelle;Classe DPE bien vs. exigence acquéreur;Intrinsèque;CSV champ: DPE Étiquette énergie (A→G) — version post-juillet 2021;Bloquant si F/G + acquéreur sensible;Acquéreur;[A = 1.0 / B = 0.85 / C = 0.70 / D = 0.50 / E = 0.30 / F = 0.15 / G = 0.0] — Si acquéreur DPE bloquant et étiquette F ou G → bien exclu;A B C D E F G;50;Score neutre 0.5 si DPE absent ou antérieur à 2021
6;Sobriété & performance énergétique;Différenciant;5;6.2;DPE potentiel post-travaux;Étiquette DPE atteignable après rénovation;Intrinsèque;CSV champ: Étiquette DPE atteignable post-travaux + Audit énergétique réalisé;Préférentiel;Acquéreur;score_dpe_atteignable × 0.7 — uniquement si acquéreur ouvert aux travaux de rénovation énergétique;A B C D E;30;Critère ignoré si acquéreur non ouvert aux travaux (poids = 0)
6;Sobriété & performance énergétique;Différenciant;5;6.3;Équipements sobriété;Présence équipements énergétiques performants;Intrinsèque + Extrinsèque;CSV champs: Panneaux solaires PV (kWc) / Batterie stockage (kWh) / PAC COP & SCOP / VMC type / Borne VE (kW) — PVGIS pour potentiel non installé;Bonus;Acquéreur;Somme pondérée : PV installés +0.30 / Batterie +0.20 / PAC COP>4 +0.20 / VMC double flux +0.15 / Borne VE +0.15 — plafonné à 1.0;Présence par équipement;20;Score 0.0 — pas de pénalité. Critère ignoré si autonomie énergétique non exprimée
7;Modes de vie & usages sociaux;Différenciant;5;7.1;Convivialité intérieure;Configuration cuisine + espace séjour vs. style vie acquéreur;Intrinsèque;CSV champs: Configuration cuisine (ouverte/semi-ouverte/fermée) + Surface cuisine (m²) + Nombre de pièces principales;Préférentiel;Acquéreur;[Cuisine ouverte = 1.0 / Semi-ouverte = 0.7 / Fermée = 0.3] × pondération_réceptions_acquéreur + f(surface_cuisine / surface_cuisine_idéale_acquéreur);Type + m²;50;Score neutre 0.5 si configuration non renseignée
7;Modes de vie & usages sociaux;Différenciant;5;7.2;Animation quartier;Densité commerces / restaurants / culture à 500m;Extrinsèque;OSM Overpass API (commerces + restaurants + culture + sport) + Google Places API;Préférentiel;Acquéreur;nb_POI_animation_500m normalisé par médiane nationale — pondéré selon préférence acquéreur (animé vs. calme : score inversé si calme recherché);Nb POI;30;Score neutre 0.5 si données OSM absentes
7;Modes de vie & usages sociaux;Différenciant;5;7.3;Dynamisme urbain;Marchabilité et vitalité du quartier;Extrinsèque;Walk Score API + INSEE démographie (croissance population commune);Préférentiel;Système;Walk Score normalisé 0→1 + pondération croissance démographique positive;Score 0→100 normalisé;20;Score neutre 0.5 si Walk Score non disponible (hors zone couverte)
